arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
25002527,86039582,1,AR2016-018,2016-08-12 00:00:00,2,C,16,5,37,M,1,2,R,,,,37,0
25002526,86038949,1,AR2016-017,2016-08-10 00:00:00,2,C,5,5,15,M,1,1,R,R,,,15,0
25307719,86470439,1,AR2016-021,2016-09-23 00:00:00,3,C,48,5,50,M,1,2,R,,,,50,0
25306755,87004508,1,AR2016-023,2016-10-19 00:00:00,2,C,28,5,18,M,1,2,R,,,,18,0
25306759,87004512,1,AR2016-022,2016-10-06 00:00:00,2,C,2,5,41,F,1,2,N,,,,41,0
25803392,88604846,1,AR2016-035,2016-11-30 00:00:00,2,C,48,5,31,M,1,2,R,,,,31,0
25804215,88604825,1,AR2016-027,2016-11-02 00:00:00,3,C,44,5,25,M,1,2,R,,,,25,0
25804214,88605609,1,AR2016-034,2016-11-22 00:00:00,2,C,5,5,14,M,1,2,R,H,,,14,0
25804213,88605608,1,AR2016-026,2016-11-02 00:00:00,3,C,44,5,25,M,1,2,R,,,,25,0
26023960,88604852,1,AR2017-001,2017-01-04 00:00:00,3,C,47,5,25,F,1,2,R,,,,25,0
25803395,88605631,1,AR2016-038,2016-12-30 00:00:00,3,C,51,5,27,M,1,2,R,,,,27,0
25804232,88604854,1,AR2016-037,2016-12-13 00:00:00,2,C,51,5,24,M,2,2,R,,,,24,0
24395267,84264573,1,A00000150691,2016-01-30 00:00:00,2,N,8,5,38,M,1,2,N,,,,38,0
23974014,83067274,1,A00000148973,2016-01-01 00:00:00,1,N,51,5,27,F,1,2,R,,,,27,0
23974022,83067288,2,A00000149466,2016-01-27 00:00:00,3,N,23,5,27,F,1,2,N,,,,27,0
23974021,83067288,1,A00000149467,2016-01-27 00:00:00,3,N,23,5,46,F,2,2,N,,,,46,0
24116100,83458525,1,A00000149295,2016-01-16 00:00:00,3,N,23,5,30,F,1,2,N,,,,30,0
24116101,83458525,2,A00000149296,2016-01-16 00:00:00,2,N,23,5,34,F,1,2,N,,,,34,0
24115342,83458105,1,A00000150134,2016-02-27 00:00:00,2,N,5,5,44,M,1,2,R,,,,44,0
23974016,83067275,1,A00000149017,2016-01-03 00:00:00,1,N,51,5,51,M,1,2,R,,,,51,0
23974019,83067284,2,A00000149237,2016-01-17 00:00:00,1,N,16,5,19,F,1,2,R,,,,19,0
23974018,83067284,1,A00000149235,2016-01-17 00:00:00,1,N,16,5,19,M,1,2,R,,,,19,0
23974020,83068616,1,A00000149396,2016-01-21 00:00:00,2,N,23,5,24,M,1,2,R,,,,24,0
23974988,83067276,1,A00000149013,2016-01-03 00:00:00,1,N,51,5,30,M,1,2,R,,,,30,0
24115341,83068613,1,A00000149921,2016-02-17 00:00:00,2,N,5,5,25,F,1,2,N,,,,25,0
23974990,83068615,1,A00000149877,2016-01-17 00:00:00,2,N,47,5,22,F,1,2,N,,,,22,0
23974989,83067280,1,A00000149144,2016-01-09 00:00:00,2,N,51,5,52,M,1,2,R,,,,52,0
24534260,84662916,1,A00000149571,2016-01-31 00:00:00,1,N,23,5,39,F,1,2,N,,,,39,0
23974991,83068621,1,A00000149545,2016-01-30 00:00:00,2,N,16,5,34,F,1,2,N,,,,34,0
24534271,84662941,1,A00000150102,2016-02-25 00:00:00,2,N,23,5,29,F,1,2,N,,,,29,0
24535386,84661439,2,A00000149746,2016-02-08 00:00:00,1,N,23,5,35,F,1,2,N,,,,35,0
24535385,84661439,1,A00000149748,2016-02-08 00:00:00,2,N,23,5,32,F,1,2,N,,,,32,0
24115364,83458156,1,A00000149853,2016-02-14 00:00:00,2,N,51,5,30,M,1,2,R,,,,30,0
24115402,83458266,1,A00000150198,2016-02-29 00:00:00,1,N,23,5,23,F,2,2,N,,,,23,0
24535406,84661471,1,A00000150204,2016-03-08 00:00:00,1,N,16,5,55,M,1,2,N,,,,55,0
24116118,83458568,1,A00000150180,2016-02-05 00:00:00,2,N,23,5,29,F,1,2,N,,,,29,0
24115374,83458171,1,A00000149817,2016-02-13 00:00:00,2,N,51,5,39,M,1,2,N,,,,39,0
24116117,83458562,2,A00000149712,2016-02-22 00:00:00,1,N,16,5,25,F,1,2,R,,,,25,0
24116115,83458562,1,A00000149711,2016-02-22 00:00:00,1,N,16,5,26,M,1,2,R,,,,26,0
24264610,83458658,1,A00000150299,2016-03-05 00:00:00,2,N,16,5,46,M,1,2,R,,,,46,0
24396353,84263775,1,A00000150132,2016-02-03 00:00:00,2,N,23,5,27,M,1,2,N,,,,27,0
24534268,84661455,1,A00000150660,2016-03-23 00:00:00,2,N,2,5,47,F,1,2,N,,,,47,0
24115390,83458627,1,A00000150355,2016-02-27 00:00:00,1,C,16,5,22,M,1,2,N,,,,22,0
24116138,83458630,1,A00000150169,2016-02-28 00:00:00,1,N,51,5,53,M,1,2,R,,,,53,0
24264609,83458655,1,A00000150176,2016-03-06 00:00:00,1,N,16,5,28,M,1,2,N,,,,28,0
25448654,87430873,1,A00000155708,2016-10-27 00:00:00,2,N,23,5,33,M,1,2,N,,,,33,0
24116124,83458593,2,A00000150063,2016-02-14 00:00:00,2,N,51,5,25,M,1,2,N,,,,25,0
