suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,98803982,1000,1,7371944
5,98809837,1000,1,7371941
2,98803997,1000,9,7371948
6,98809919,3500,9,7372847
16,98809897,6000,9,7371957
5,99189923,1000,1,7423822
5,98804030,1000,1,7371955
5,98804047,2000,1,7371962
15,99189964,1000,9,7424805
5,99190355,9300,1,7423827
5,99189962,30000,1,7424804
5,99190369,5000,1,7424799
5,99581480,5000,1,7477311
10,100062588,1000,3,7538180
16,100062588,5000,1,7538182
5,100061868,1000,1,7538417
5,100062574,1000,1,7538430
5,100061890,30000,1,7538420
5,100061893,1000,1,7538421
5,100454274,1300,1,7593189
5,101515804,2000,1,7730826
5,101516593,5000,1,7729974
5,101515835,5200,1,7730831
5,101516608,5000,1,7729981
4,101516657,6000,9,7729988
12,101516624,5000,1,7729985
5,101515856,30000,1,7730832
5,101516591,300,1,7729973
5,96435311,1000,1,7022696
5,96435310,12000,9,7023469
5,97193896,1000,1,7132182
5,97194724,2000,1,7132184
5,97193927,2000,1,7132186
5,97194734,1000,1,7133195
16,97194732,1000,9,7132187
5,97193901,5000,1,7133194
5,97918046,10000,1,7243759
5,98338836,1000,1,7307423
15,98338831,7000,9,7308342
5,98338843,1500,1,7307425
5,98809866,4000,1,7371945
8,98339838,10000,9,7307426
13,98809869,92000,9,7371946
5,98809876,1000,1,7372838
5,98804028,3000,1,7371954
5,98804032,1000,1,7371956
5,99190338,1000,1,7424796
5,99190335,5000,1,7424795
5,99189920,3000,9,7423820
12,99189920,1000,9,7423821
5,100062534,1000,1,7538175
1,100062528,1000,1,7538173
5,100061907,69000,1,7538426
5,100062529,1000,1,7538174
5,101516534,14000,3,7729966
5,100453852,1000,1,7591906
5,104025840,2000,1,8091117
5,101515767,2000,1,7730818
5,101516508,100,1,7730805
5,101515756,2000,1,7730812
5,97194638,1000,1,7132166
5,100061822,1000,1,7538156
5,100453782,1000,9,7593182
5,101516399,2000,9,7729948
4,97193972,1000,1,7132193
4,97193982,4000,9,7132196
5,97194764,1000,9,7133197
17,97193977,4000,9,7132194
2,97193978,1500,1,7132195
4,97193989,1000,9,7134200
4,97194770,10000,9,7134197
5,97194768,2000,9,7133198
4,97544642,1000,1,7184431
4,97544644,1000,1,7184432
6,97545837,5000,9,7183901
4,97919538,1000,9,7243779
4,97919537,1000,1,7244928
4,97918128,1000,1,7243778
4,97918125,2000,9,7243776
4,101516706,1000,1,7729999
4,101516703,1000,9,7730839
4,98338850,1000,1,7308346
4,98339843,53000,1,7308348
4,98339849,10000,9,7308350
4,98339846,14000,1,7308349
4,101515928,1000,1,7730844
1,101515929,2000,1,7730845
2,98804059,3000,1,7371965
4,99581573,25000,1,7476828
4,98809944,10000,9,7372854
2,98804060,1000,1,7372855
6,101516707,3000,9,7729998
1,101516705,3000,9,7729997
5,99581561,1000,9,7476827
4,100061959,1000,9,7538433
5,101516713,1000,9,7730001
2,101515915,2000,9,7730000
5,101515927,1000,9,7730843
16,101515912,22000,9,7730842
15,101515912,2000,9,7730841
4,101516717,1000,1,7730002
1,101516723,1000,9,7730004
8,101515933,16000,9,7730846
2,101516722,1000,1,7730003
12,97194780,167060,1,7134202
5,97194000,15270,3,7134201
5,97919551,320,3,7244930
4,97194001,,,7134203
5,103762910,1045,3,8056498
11,103762910,1090,3,8056497
16,103762909,8000,9,8056496
5,103762906,4100,1,8056495
4,98803913,,,7371935
5,99581416,,,7476805
