property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
103410793,10,,,101413383
104025910,63,3,,102210703
104294218,8,5,,102561709
100453891,3,500,,97596673
100454378,30,250,,97596676
100454383,38,30,,97597152
102813613,20,1,,100648756
102813611,63,2,,100648754
100453921,63,100,,97596710
100454411,20,300,,97597182
100454371,63,65,,97597136
100453892,42,50,,97597139
100453892,3,100,,97596672
100454405,16,250,,97597176
102144858,7,620,,99783828
102144858,25,60,,99783830
102144855,7,620,2016-11-20 00:00:00,99783826
102144855,25,60,2016-11-20 00:00:00,99783827
102145320,63,100,,99784395
100454386,10,,,97596691
100453926,63,45,,97596714
100453901,20,10,,97596685
100453912,20,5,,97596698
100453912,63,30,,97596699
100454413,38,140,,97597185
102144873,63,300,,99784396
102144874,63,5,,99783844
102813614,61,400,,100649497
102813614,20,62,,100649495
102813614,25,30,,100649496
102813614,63,600,,100649498
102811744,25,30,2016-11-29 00:00:00,100649494
102144860,10,,,99784359
102144860,11,5,,99784360
100453895,63,330,,97596677
100454393,3,40,,97597160
100454423,63,1,,97597195
100454410,11,5,,97596708
100454410,10,,,97596707
100454419,63,1,,97596718
102145300,42,10,,99783836
102145300,63,10,,99783837
100454370,6,250,,97597134
100454406,3,300,,97597177
100454426,63,300,,97597198
100454429,25,10,,97597203
102145308,25,50,2016-11-28 00:00:00,99784375
102145309,20,40,,99784378
102145309,25,50,,99784379
102145304,20,30,,99784371
101515880,3,50,,98973868
102145295,25,50,,99784357
102145322,3,250,,99783845
103763999,8,1,,101873322
103763997,3,1452,,101873320
103762933,63,30,,101872854
104293587,61,500,,102560999
103411369,63,500,,101413382
102811747,11,1,,100648763
102811747,10,,,100648762
102144916,63,75,,99783899
102145359,63,13,,99784440
102145359,26,250,,99784439
102144917,20,3,,99783900
102145383,20,750,,99784477
102813619,63,50,,100648761
102144945,63,400,,99783932
102144950,63,5,,99784509
102145343,63,9,,99784423
102145343,20,20,,99784422
102145347,16,300,,99783868
102144908,63,1,,99784453
102144908,3,1,,99784450
102144907,63,1,2016-12-06 00:00:00,99784446
102144907,3,1,2016-12-06 00:00:00,99784445
102145375,3,200,,99784460
102144920,20,75,,99783903
102144909,25,1,,99783886
102144932,63,200,,99784486
102144956,63,150,2016-12-30 00:00:00,99783947
102144957,63,150,,99783948
101515884,63,89,,98974185
103410791,16,300,,101413378
102144889,38,60,,99783860
102144914,63,420,,99784457
102144955,17,610,,99783945
102144955,20,50,,99783946
102144955,7,200,,99783944
102144952,63,250,,99783940
102145406,3,1,,99784512
102145358,20,1,,99784438
102145389,9,0,,99784487
103762927,20,13,,101872848
103762924,20,13,2016-12-18 00:00:00,101872845
102144930,20,5380,,99783915
103411367,63,60,,101414313
103410789,63,320,,101413376
104293580,11,1,,102560992
104293591,61,1,,102561711
104293592,61,1,,102561002
104294216,3,1,,102561707
96435358,3,250,,92383193
96434499,54,500,,92383192
96795309,63,2,,92861349
97194720,38,694,,93380588
97193916,63,650,,93380589
97193913,63,100,,93381442
97194719,29,700,,93381443
97544630,20,70,,93832849
97918093,63,100,,94315855
97918094,20,680,,94315856
98338824,10,,,94866169
98338829,42,100,,94866174
98338827,42,500,,94865539
98338825,42,400,,94866170
98804054,36,636,,95476279
98809934,63,5000,,95475533
99190397,16,100,,95958747
99189982,42,200,,95957754
99189983,10,,,95957755
99189981,63,50,,95957753
99190399,30,100,,95958752
99581552,3,4000,,96461121
99581548,31,200,,96460712
99581542,3,173,,96459106
99581156,16,50,,96461119
99581540,54,50,,96459105
100062637,7,100,,97086220
100062635,7,100,2016-10-28 00:00:00,97085048
100061946,3,880,,97085035
100062621,57,190,2016-10-19 00:00:00,97086204
100062625,63,0,,97086207
100062633,20,600,,97085043
100061947,20,500,,97085036
100061944,30,385,,97085034
100061953,63,380,,97085045
101516670,63,20,,98973863
101516669,63,20,,98973862
