nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6840781,16103,7,2015,U,,,N,F,,C,2015_07_PA0116100_NIBRS,
6828760,16103,4,2015,U,,,N,F,,C,2015_04_PA0116100_NIBRS,
6896817,16103,2,2015,U,,,N,F,,C,2015_02_PA0116100_NIBRS,
6946794,16103,12,2015,U,,,N,F,,C,2015_12_PA0116100_NIBRS,
6935728,16103,10,2015,U,,,N,F,,C,2015_10_PA0116100_NIBRS,
6957478,16103,1,2015,U,,,N,F,,C,2015_01_PA0116100_NIBRS,
6973815,16103,9,2015,U,,,N,F,,C,2015_09_PA0116100_NIBRS,
6980259,16103,5,2015,U,,,N,F,,C,2015_05_PA0116100_NIBRS,
7043149,16103,3,2015,U,,,N,F,,C,2015_03_PA0116100_NIBRS,
6796413,16104,9,2015,U,,,N,F,,C,2015_09_PA0116200_NIBRS,
6809491,16104,1,2015,U,,,N,F,,C,2015_01_PA0116200_NIBRS,
6860521,16104,3,2015,U,,,N,F,,C,2015_03_PA0116200_NIBRS,
6863671,16104,6,2015,U,,,N,F,,C,2015_06_PA0116200_NIBRS,
6850724,16104,12,2015,U,,,N,F,,C,2015_12_PA0116200_NIBRS,
6828882,16104,4,2015,U,,,N,F,,C,2015_04_PA0116200_NIBRS,
6892376,16104,5,2015,U,,,N,F,,C,2015_05_PA0116200_NIBRS,
6891816,16104,8,2015,U,,,N,F,,C,2015_08_PA0116200_NIBRS,
6939738,16104,7,2015,U,,,N,F,,C,2015_07_PA0116200_NIBRS,
7002807,16104,2,2015,U,,,N,F,,C,2015_02_PA0116200_NIBRS,
7013168,16104,11,2015,U,,,N,F,,C,2015_11_PA0116200_NIBRS,
7035139,16104,10,2015,U,,,N,F,,C,2015_10_PA0116200_NIBRS,
6796054,16105,5,2015,U,,,N,F,,C,2015_05_PA0116300_NIBRS,
6816453,16105,2,2015,U,,,N,F,,C,2015_02_PA0116300_NIBRS,
6820731,16105,1,2015,U,,,N,F,,C,2015_01_PA0116300_NIBRS,
6876380,16105,10,2015,U,,,N,F,,C,2015_10_PA0116300_NIBRS,
6887333,16105,8,2015,U,,,N,F,,C,2015_08_PA0116300_NIBRS,
6826153,16105,11,2015,U,,,N,F,,C,2015_11_PA0116300_NIBRS,
6844769,16105,4,2015,U,,,N,F,,C,2015_04_PA0116300_NIBRS,
6896822,16105,6,2015,U,,,N,F,,C,2015_06_PA0116300_NIBRS,
6888946,16105,3,2015,U,,,N,F,,C,2015_03_PA0116300_NIBRS,
6944435,16105,7,2015,U,,,N,F,,C,2015_07_PA0116300_NIBRS,
6922871,16105,12,2015,U,,,N,F,,C,2015_12_PA0116300_NIBRS,
7001988,16105,9,2015,U,,,N,F,,C,2015_09_PA0116300_NIBRS,
6817198,16106,4,2015,U,,,N,F,,C,2015_04_PA0116500_NIBRS,
6862095,16106,11,2015,U,,,N,F,,C,2015_11_PA0116500_NIBRS,
6871313,16106,1,2015,U,,,N,F,,C,2015_01_PA0116500_NIBRS,
6879632,16106,7,2015,U,,,N,F,,C,2015_07_PA0116500_NIBRS,
6871780,16106,6,2015,U,,,N,F,,C,2015_06_PA0116500_NIBRS,
6850050,16106,9,2015,U,,,N,F,,C,2015_09_PA0116500_NIBRS,
6848771,16106,2,2015,U,,,N,F,,C,2015_02_PA0116500_NIBRS,
6848865,16106,10,2015,U,,,N,F,,C,2015_10_PA0116500_NIBRS,
6999560,16106,3,2015,U,,,N,F,,C,2015_03_PA0116500_NIBRS,
6978125,16106,12,2015,U,,,N,F,,C,2015_12_PA0116500_NIBRS,
7040279,16106,5,2015,U,,,N,F,,C,2015_05_PA0116500_NIBRS,
7038430,16106,8,2015,U,,,N,F,,C,2015_08_PA0116500_NIBRS,
6801909,16107,8,2015,U,,,N,F,,C,2015_08_PA0116800_NIBRS,
6813207,16107,11,2015,U,,,N,F,,C,2015_11_PA0116800_NIBRS,
6861716,16107,1,2015,U,,,N,F,,C,2015_01_PA0116800_NIBRS,
6874084,16107,6,2015,U,,,N,F,,C,2015_06_PA0116800_NIBRS,
6834052,16107,3,2015,U,,,N,F,,C,2015_03_PA0116800_NIBRS,
6850865,16107,5,2015,U,,,N,F,,C,2015_05_PA0116800_NIBRS,
6926758,16107,12,2015,U,,,N,F,,C,2015_12_PA0116800_NIBRS,
6932481,16107,9,2015,U,,,N,F,,C,2015_09_PA0116800_NIBRS,
6985171,16107,7,2015,U,,,N,F,,C,2015_07_PA0116800_NIBRS,
6999961,16107,10,2015,U,,,N,F,,C,2015_10_PA0116800_NIBRS,
6966073,16107,2,2015,U,,,N,F,,C,2015_02_PA0116800_NIBRS,
7035811,16107,4,2015,U,,,N,F,,C,2015_04_PA0116800_NIBRS,
6796173,16108,11,2015,U,,,N,F,,C,2015_11_PA011BF00_NIBRS,
6796399,16108,3,2015,U,,,N,F,,C,2015_03_PA011BF00_NIBRS,
6820469,16108,10,2015,U,,,N,F,,C,2015_10_PA011BF00_NIBRS,
6877156,16108,2,2015,U,,,N,F,,C,2015_02_PA011BF00_NIBRS,
6848516,16108,9,2015,U,,,N,F,,C,2015_09_PA011BF00_NIBRS,
6908182,16108,4,2015,U,,,N,F,,C,2015_04_PA011BF00_NIBRS,
6916339,16108,7,2015,U,,,N,F,,C,2015_07_PA011BF00_NIBRS,
6912521,16108,6,2015,U,,,N,F,,C,2015_06_PA011BF00_NIBRS,
6932904,16108,8,2015,U,,,N,F,,C,2015_08_PA011BF00_NIBRS,
6951270,16108,1,2015,U,,,N,F,,C,2015_01_PA011BF00_NIBRS,
6978212,16108,12,2015,U,,,N,F,,C,2015_12_PA011BF00_NIBRS,
6956041,16108,5,2015,U,,,N,F,,C,2015_05_PA011BF00_NIBRS,
6810013,16067,8,2015,U,,,N,F,,C,2015_08_PA0111200_NIBRS,
6801329,16067,2,2015,U,,,N,F,,C,2015_02_PA0111200_NIBRS,
6815064,16067,11,2015,U,,,N,F,,C,2015_11_PA0111200_NIBRS,
6860121,16067,9,2015,U,,,N,F,,C,2015_09_PA0111200_NIBRS,
6868525,16067,4,2015,U,,,N,F,,C,2015_04_PA0111200_NIBRS,
6871247,16067,7,2015,U,,,N,F,,C,2015_07_PA0111200_NIBRS,
6869721,16067,1,2015,U,,,N,F,,C,2015_01_PA0111200_NIBRS,
6830079,16067,6,2015,U,,,N,F,,C,2015_06_PA0111200_NIBRS,
6909299,16067,12,2015,U,,,N,F,,C,2015_12_PA0111200_NIBRS,
6893766,16067,10,2015,U,,,N,F,,C,2015_10_PA0111200_NIBRS,
7012183,16067,3,2015,U,,,N,F,,C,2015_03_PA0111200_NIBRS,
7048543,16067,5,2015,U,,,N,F,,C,2015_05_PA0111200_NIBRS,
6836064,16068,8,2015,U,,,N,F,,C,2015_08_PA0111300_NIBRS,
6824057,16068,6,2015,U,,,N,F,,C,2015_06_PA0111300_NIBRS,
6848335,16068,3,2015,U,,,N,F,,C,2015_03_PA0111300_NIBRS,
6828755,16068,2,2015,U,,,N,F,,C,2015_02_PA0111300_NIBRS,
6842956,16068,12,2015,U,,,N,F,,C,2015_12_PA0111300_NIBRS,
6906924,16068,11,2015,U,,,N,F,,C,2015_11_PA0111300_NIBRS,
6932042,16068,7,2015,U,,,N,F,,C,2015_07_PA0111300_NIBRS,
7016987,16068,1,2015,U,,,N,F,,C,2015_01_PA0111300_NIBRS,
6954619,16068,5,2015,U,,,N,F,,C,2015_05_PA0111300_NIBRS,
7022614,16068,4,2015,U,,,N,F,,C,2015_04_PA0111300_NIBRS,
7028767,16068,9,2015,U,,,N,F,,C,2015_09_PA0111300_NIBRS,
6920615,16068,10,2015,U,,,N,F,,C,2015_10_PA0111300_NIBRS,
6880721,16069,1,2015,U,,,N,F,,C,2015_01_PA0111400_NIBRS,
6885891,16069,9,2015,U,,,N,F,,C,2015_09_PA0111400_NIBRS,
6872081,16069,10,2015,U,,,N,F,,C,2015_10_PA0111400_NIBRS,
6856345,16069,4,2015,U,,,N,F,,C,2015_04_PA0111400_NIBRS,
6905160,16069,2,2015,U,,,N,F,,C,2015_02_PA0111400_NIBRS,
6889679,16069,5,2015,U,,,N,F,,C,2015_05_PA0111400_NIBRS,
6948888,16069,3,2015,U,,,N,F,,C,2015_03_PA0111400_NIBRS,
7002841,16069,11,2015,U,,,N,F,,C,2015_11_PA0111400_NIBRS,
6995421,16069,6,2015,U,,,N,F,,C,2015_06_PA0111400_NIBRS,
6981586,16069,8,2015,U,,,N,F,,C,2015_08_PA0111400_NIBRS,
6955826,16069,12,2015,U,,,N,F,,C,2015_12_PA0111400_NIBRS,
7042426,16069,7,2015,U,,,N,F,,C,2015_07_PA0111400_NIBRS,
6820445,16070,4,2015,U,,,N,F,,C,2015_04_PA0111500_NIBRS,
6797338,16070,5,2015,U,,,N,F,,C,2015_05_PA0111500_NIBRS,
6862447,16070,12,2015,U,,,N,F,,C,2015_12_PA0111500_NIBRS,
6867941,16070,9,2015,U,,,N,F,,C,2015_09_PA0111500_NIBRS,
6913479,16070,6,2015,U,,,N,F,,C,2015_06_PA0111500_NIBRS,
6950355,16070,7,2015,U,,,N,F,,C,2015_07_PA0111500_NIBRS,
6922213,16070,2,2015,U,,,N,F,,C,2015_02_PA0111500_NIBRS,
6989205,16070,8,2015,U,,,N,F,,C,2015_08_PA0111500_NIBRS,
7011659,16070,1,2015,U,,,N,F,,C,2015_01_PA0111500_NIBRS,
6959260,16070,11,2015,U,,,N,F,,C,2015_11_PA0111500_NIBRS,
7038909,16070,3,2015,U,,,N,F,,C,2015_03_PA0111500_NIBRS,
7046320,16070,10,2015,U,,,N,F,,C,2015_10_PA0111500_NIBRS,
6882369,16071,12,2015,U,,,N,F,,C,2015_12_PA0111600_NIBRS,
6874915,16071,6,2015,U,,,N,F,,C,2015_06_PA0111600_NIBRS,
6856983,16071,2,2015,U,,,N,F,,C,2015_02_PA0111600_NIBRS,
6841926,16071,10,2015,U,,,N,F,,C,2015_10_PA0111600_NIBRS,
6851013,16071,3,2015,U,,,N,F,,C,2015_03_PA0111600_NIBRS,
6838978,16071,7,2015,U,,,N,F,,C,2015_07_PA0111600_NIBRS,
6912315,16071,4,2015,U,,,N,F,,C,2015_04_PA0111600_NIBRS,
