offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
91124955,83458041,2,C,20,,,
86936304,78828419,5,C,20,,,
86936305,78828420,47,C,20,,,
86936306,78828421,45,C,20,,,
86941736,78828422,45,C,20,,,
86936307,78828423,14,C,13,,,
86940112,78829612,51,C,20,,,
86940072,78828424,47,C,20,,,
86940073,78828424,41,C,20,,,
86940074,78828427,45,C,20,,,
86936310,78828428,47,C,20,,,
86942836,78828429,5,C,13,,,
86948459,78828430,5,C,20,,,
86936311,78828432,44,C,20,,,
86940075,78828433,5,C,20,,,
86948460,78828434,45,C,13,,,
86949202,78828434,5,C,13,,,
86941737,78828435,5,C,18,,,
86942837,78828436,47,C,20,,,
86943856,78828438,45,C,20,,,
86938146,78828439,16,C,20,,,
86940076,78828440,51,C,20,,,
86940077,78828441,2,C,25,,,
86942839,78828442,47,C,20,,,
86949203,78828443,45,C,13,,,
86942841,78828448,16,C,13,,,
86942842,78828448,35,C,13,,,
86942843,78828450,43,C,20,,,
86942844,78828450,4,C,20,,,
86949205,78828451,47,C,20,,,
86949207,78828457,51,C,20,,,
86949208,78828457,5,C,20,,,
93613152,85621594,5,C,5,,,
86949679,78829530,46,A,20,,,
86949680,78829531,51,C,13,,,
86940097,78829532,23,C,12,,,
86949233,78829534,41,C,20,,,
86938169,78829535,45,C,20,,,
86938170,78829536,14,C,20,,,
86949234,78829537,14,C,13,,,
86949235,78829538,23,C,7,,,
86949236,78829538,45,C,7,,,
86949237,78829538,37,C,7,,,
86945008,78829539,5,C,18,,,
86945009,78829540,5,C,13,,,
86940098,78829541,47,C,20,,,
86949681,78829542,5,C,20,,,
86940099,78829544,45,C,13,,,
86943885,78829545,51,C,8,,,
86943886,78829545,23,C,8,,,
86943887,78829545,16,C,8,,,
