arrestee_id,weapon_id,nibrs_arrestee_weapon_id
24958356,1,24978526
24957597,1,24978723
24958820,1,24978953
24959003,7,24979141
24959070,1,24979211
24958895,1,24979027
24958898,1,24979030
24958899,1,24979031
24959627,1,24979791
24959227,1,24979368
25042934,1,25064073
24958722,1,24978848
24958612,1,24979778
24957601,3,24978727
24958642,1,24978770
24959283,1,24979425
24959125,1,24979270
24958229,1,24978404
24958231,1,24978406
25043938,1,25063178
24957595,1,24978720
24958443,1,24978609
24959208,1,24979350
25043851,1,25063101
25044111,8,25063357
25042932,1,25064071
24958776,1,24978905
24958591,1,24979359
24958871,1,24979005
24958351,1,24978521
24958484,1,24978647
24958485,1,24978646
24958865,1,24978999
24958862,1,24978996
24957910,1,24978091
24958193,1,24978974
24959195,1,24979337
24959193,1,24979334
25043850,1,25063100
24959094,1,24979240
24959091,1,24979237
24958467,1,24979241
27113065,1,27135617
25043948,1,25063186
25043947,1,25063185
25043122,1,25063246
25043879,1,25063126
25043158,1,25064304
25044140,1,25063384
25044024,1,25063265
25043140,1,25064288
25042945,1,25064085
25042960,1,25064103
25043139,1,25064287
25043086,1,25064237
25043099,1,25064248
25042977,1,25064126
25043929,3,25063168
25043029,1,25064180
25043895,3,25063135
25044082,1,25063323
25043007,1,25063166
25043939,1,25064170
25043023,1,25064173
25043926,1,25063162
25043983,1,25064243
25043866,1,25064087
25044048,1,25064326
25043867,1,25064089
25044072,1,25063313
25043940,1,25063179
25044080,1,25063321
25044046,1,25063289
25044079,1,25064370
25043222,1,25064371
25044128,1,25063372
25044130,1,25063374
25044124,1,25063367
25044042,1,25064319
25043173,1,25064318
25043172,1,25064317
25043136,1,25064283
25044021,1,25064285
25043137,1,25064284
25043924,1,25063161
25043981,1,25063220
25043978,1,25063217
25043906,1,25063146
25044118,1,25063362
25044133,1,25063378
25489841,2,25510461
25489464,1,25510361
25489466,8,25510801
25489729,1,25510356
25489806,1,25510428
25489455,1,25510355
25490787,1,25511740
25489734,1,25510360
25490198,1,25511801
27328904,1,27352492
27328502,1,27352929
27328504,1,27352493
27309820,8,27333856
25489784,1,25510408
25490141,1,25511742
25490194,1,25511797
25489892,1,25510509
25489893,1,25510510
25490780,1,25511714
25489833,1,25510875
25489834,1,25510455
25489835,1,25510456
25490060,3,25510660
25489756,1,25510381
25489855,1,25510475
25489551,1,25510471
25489553,1,25510896
25490078,1,25510676
25489942,1,25510556
25490037,1,25510645
25490696,1,25511049
25490121,3,25511720
25490650,1,25511004
25490062,1,25510662
25490061,1,25510661
25490023,1,25511061
25489814,1,25510435
25489477,1,25510815
25489829,7,25510450
25489951,1,25510564
25490657,1,25510583
25490690,1,25511042
25489605,1,25510953
25490649,1,25511003
25489871,1,25510490
25489870,1,25510489
25489868,1,25510486
25490635,1,25510985
25489582,1,25510927
25489880,1,25510926
25490817,1,25511771
25889504,1,25911123
25889503,1,25911122
25490077,1,25510675
25490076,1,25511108
25490331,1,25511942
25490357,1,25511970
25490356,1,25511969
25490887,1,25511863
25490886,1,25511862
25490447,1,25512064
25490437,3,25512054
25490406,1,25512022
25491045,7,25511392
25490222,1,25511826
25490429,3,25512047
25490429,7,25512048
25490880,1,25511236
25490424,1,25512042
25491026,1,25511374
25490168,1,25511177
25490321,1,25511931
25490383,1,25511995
25490899,1,25511255
25490900,1,25511256
25490328,1,25511937
25491062,1,25511410
25490350,8,25511961
25889830,1,25910662
25490167,7,25511769
25490428,1,25512045
25490454,1,25512073
26940507,1,26964432
26940508,1,26964433
27114950,1,27137518
27113067,1,27135619
27113068,1,27135620
25889395,3,25911016
25889394,1,25911015
25889393,1,25911014
25889688,3,25910512
25889852,1,25911194
25889357,1,25910981
25890655,1,25911264
25889369,1,25910994
25889827,1,25910659
25889813,1,25910644
25890685,1,25911294
25890686,1,25911295
25889405,1,25910547
25889643,1,25910469
25889602,1,25911215
25890657,1,25911265
25890654,1,25911263
25890658,1,25911267
25889670,1,25910495
25889892,7,25911728
25890669,1,25911279
25890670,1,25911281
25889565,1,25911178
25889427,1,25911046
25888582,1,25910407
25889725,1,25910553
25889723,1,25910551
25889365,1,25910989
25889345,1,25910964
25889942,1,25911268
25889248,7,25910871
25889282,3,25910904
25888542,1,25910367
26940511,1,26964908
27113431,1,27136992
27113424,1,27136982
27113422,1,27136980
27328816,1,27352355
27112593,1,27137106
27114652,1,27137208
27113459,1,27137021
27113511,1,27137073
27114641,1,27136489
27114642,1,27137200
27113477,1,27137036
27113533,1,27137092
27113715,1,27136525
27113623,1,27136433
27112503,1,27136309
27112505,1,27136311
27112511,1,27136318
27112510,1,27136317
27328365,1,27352356
27113636,3,27136445
27112566,1,27137075
27112565,1,27136373
27113463,1,27137026
27113702,1,27136511
24040091,1,24059423
24041040,1,24060091
24040093,1,24059425
24041011,1,24060061
24040137,1,24059469
24040108,1,24060076
24041025,1,24060077
24040079,1,24059412
24041023,1,24060074
24041030,1,24059443
24219549,1,24239232
24040078,1,24059411
24041031,1,24059444
24040120,1,24060085
24041004,1,24060053
24041022,1,24060073
24219512,1,24239858
24219468,1,24239819
25044009,1,25063250
25043208,1,25064358
27309425,1,27333381
27113126,1,27135687
24484662,1,24503389
24220120,1,24239338
24220033,1,24239255
24219585,1,24239258
24220055,1,24239273
24220631,1,24239981
24220628,1,24239978
24220630,1,24239980
24220627,1,24239977
24220096,1,24239312
24484651,1,24503377
24220698,1,24239363
24219945,1,24239161
24219611,1,24239961
24220044,1,24239264
24219988,1,24239208
24220662,1,24240010
24219546,1,24239891
24219543,1,24239888
24220127,1,24239344
24220128,1,24239345
24220697,1,24240044
24220063,1,24239949
24220719,1,24240060
24220637,1,24239317
24220147,1,24239373
24219493,8,24239839
27309441,1,27333399
24484668,1,24503394
24484709,1,24503435
24483608,1,24503341
24484770,1,24503499
24484626,1,24504128
24483584,1,24503315
24484020,1,24503353
24484000,1,24504100
24483999,1,24504099
24484738,1,24503469
24484075,1,24504182
24484693,3,24503418
24484694,1,24503419
24484667,1,24503393
24484334,1,24504426
24483603,1,24503335
24483611,1,24503344
24484758,1,24504240
24484759,1,24503488
24484930,1,24503670
24484763,1,24503492
24483614,1,24503347
24484743,1,24503474
24484122,1,24503465
24484736,1,24503464
24484351,1,24504442
24484026,1,24504126
24484046,1,24504152
24484726,1,24503453
24484747,1,24504227
24483605,1,24503338
24483980,1,24504081
26214085,1,26236014
24484161,1,24504261
24484903,1,24503644
24484168,7,24503526
24484240,1,24503587
24484855,1,24503586
24484323,1,24503659
24484310,1,24504401
24484226,1,24504329
24484851,1,24503579
24484774,1,24503506
