agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
17800,SC0321200,SC0321200,Swansea Police Department,Swansea,1,City,,,9825,Swansea,45,SC,2438,Lexington,45063,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2003,890,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,2,1,29160,33.892556,-81.272851
17701,SC023NR00,SC023NR00,Department of Natural Resources: Greenville County,Department of Natural Resources: Greenville County,6,Other State Agency,,,,,45,SC,2429,Greenville,45045,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1999,,2016,2013,2014,0,9E,MSA State Police,L,Y,N,12,12,7,,,,2016,3,0,29201,34.892645,-82.372077
17952,SC0440000,SC0440000,Union County Sheriff's Office,Union,2,County,,,,,45,SC,2450,Union,45087,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,18868,9C,"MSA counties from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,30,3,29379,34.690429,-81.615891
17918,SC041SP00,SC041SP00,Highway Patrol: Saluda County,Highway Patrol: Saluda County,4,State Police,,,,,45,SC,2447,Saluda,45081,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,9,,,,2016,5,0,29138,34.005278,-81.727903
17769,SC0300100,SC0300100,Laurens Police Department,Laurens,1,City,,,9750,Laurens,45,SC,2436,Laurens,45059,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,9194,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,27,4,29360,34.483477,-82.005657
17499,SC0050300,SC0050300,Ehrhardt Police Department,Ehrhardt,1,City,,,9697,Ehrhardt,45,SC,2411,Bamberg,45009,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2010,511,7,"Cities under 2,500",L,N,N,12,12,8,,,,2016,2,1,29081,33.203021,-81.053161
17466,SC0021500,SC0021500,University of South Carolina: Aiken,University of South Carolina: Aiken,3,University or College,,806,,,45,SC,2408,Aiken,45003,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1991,,2016,2013,2003,0,7,"Cities under 2,500",L,Y,N,12,12,10,,,,2016,6,1,29801,33.550013,-81.632983
17534,SC0082600,SC0082600,State Transport Police: Berkeley County,State Transport Police: Berkeley County,6,Other State Agency,,,,,45,SC,2414,Berkeley,45015,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1998,,2016,2013,2015,0,9D,"MSA counties under 10,000",L,Y,N,12,12,7,,,,2015,1,0,29016,33.2077,-79.953655
17974,SC0460200,SC0460200,Fort Mill Police Department,Fort Mill,1,City,,,9707,Fort Mill,45,SC,2452,York,45091,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1996,13532,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,43,6,29716,34.97019,-81.183188
17705,SC0240200,SC0240200,Ware Shoals Police Department,Ware Shoals,1,City,,,9836,Ware Shoals,45,SC,2430,Greenwood,45047,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,2010,2162,7,"Cities under 2,500",L,N,N,12,12,9,,,,2016,9,1,29692,34.155796,-82.127876
17587,SC0130200,SC0130200,Chesterfield Police Department,Chesterfield,1,City,,,9674,Chesterfield,45,SC,2419,Chesterfield,45025,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,1996,1452,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,5,0,29709,34.637018,-80.159227
25814,SC0300700,SC0300700,Laurens Hospital,Laurens Hospital,5,Other,,,,,45,SC,2436,Laurens,45059,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2016,,2016,2016,,0,7,"Cities under 2,500",L,Y,N,9,12,0,,,,,,,,,
17837,SC0360100,SC0360100,Newberry Police Department,Newberry,1,City,,,9771,Newberry,45,SC,2442,Newberry,45071,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,10263,5,"Cities from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,30,4,29108,34.28973,-81.600053
17707,SC0240400,SC0240400,Ninety Six Police Department,Ninety Six,1,City,,,9773,Ninety Six,45,SC,2430,Greenwood,45047,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1973,,2016,2013,2015,2033,7,"Cities under 2,500",L,N,N,12,12,8,,,,2016,5,2,29666,34.155796,-82.127876
17687,SC0230000,SC0230000,Greenville County Sheriff's Office,Greenville,2,County,,,,,45,SC,2429,Greenville,45045,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,1960,,2016,2013,1991,350423,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,439,97,29601,34.892645,-82.372077
17504,SC005FC00,SC005FC00,Forestry Commission: Bamberg County,Forestry Commission: Bamberg County,6,Other State Agency,,,,,45,SC,2411,Bamberg,45009,A,23390,SCUCR0001,South Carolina Law Enforcement Division,SC,2004,,2016,2013,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,1,0,29221,33.203021,-81.053161
