suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,104660991,13500,1,8182250
5,104661375,1000,1,8182261
5,104662283,700,1,8181302
5,104662256,2000,1,8182289
5,96601699,2000,1,7047854
5,96601133,1738,1,7046901
5,96602222,500,1,7046917
5,96601562,540,1,7046920
5,96601108,500,1,7047803
5,96602298,1000,1,7046932
2,96602264,38,3,7046927
5,96602317,1000,1,7046935
5,99290546,1000,1,7439400
5,99290326,3000,1,7438895
17,105568601,1000,11,8317615
1,97066714,1899,1,7117551
2,97066714,3100,1,7117552
5,97065959,3000,1,7117539
5,97067482,3350,1,7117631
5,97067645,54000,1,7116957
12,97067317,3000,1,7116926
5,97067559,10,1,7116952
5,97068438,2000,1,7117689
5,97065947,43000,1,7116876
5,97068181,409,1,7117639
5,99048547,1000,1,7406192
5,99049409,2000,1,7406439
5,99796839,500,1,7506078
5,97791249,1500,1,7222956
5,97789981,22000,1,7222921
4,97791436,1000,1,7222985
5,97790862,1000,1,7223459
5,97791238,1000,1,7222955
5,97789922,5000,1,7222909
5,97791554,29,1,7223007
5,97791279,100,1,7223490
13,97791583,6000,9,7223011
5,97791209,1399,1,7223482
1,97791209,50,1,7223481
5,98613468,1000,1,7348028
15,105566982,10000,9,8317526
5,97792487,500,1,7223577
5,97793231,9000,1,7223138
5,97791712,200000,1,7223047
5,99796821,500,1,7506072
5,98193489,500,1,7286014
1,98193489,299,1,7286012
5,97792792,1000,1,7223647
5,98193001,500,1,7286017
1,98193001,200,1,7286015
14,99289894,2000,9,7438906
5,104589551,1000,1,8168626
5,98194187,29000,1,7286643
5,98193871,2000,1,7286684
5,98193543,1000,1,7286626
5,98193426,1000,1,7286613
5,98193135,5299,1,7286035
5,98193858,4000,1,7286082
1,99049533,15000,1,7406448
5,98194192,1000,1,7286644
5,98193686,500,1,7286055
1,98194522,200,1,7286080
1,98192882,369,1,7286003
5,98194259,200,1,7286651
16,98194259,8000,9,7286652
12,98194259,500,1,7286650
5,99049434,1000,1,7406442
1,98193473,200,1,7286007
1,98193590,10,1,7286037
5,98193590,50000,1,7286036
1,98193149,200,1,7286634
5,98193609,949,1,7286044
5,98192972,2500,1,7286620
5,101745206,1500,1,7766098
1,101745206,23000,1,7766837
5,98612023,1149,1,7347973
5,98613516,289,1,7348031
6,98613106,3750,1,7348013
5,98612151,4000,1,7347991
5,98613517,3350,1,7348032
1,98613557,1000,1,7348035
12,98613557,17000,1,7348036
5,98614455,10,1,7348051
2,98614405,2439,1,7348870
5,98613185,4000,1,7347997
1,98613185,1000,1,7347996
8,98613185,74000,9,7347995
5,99797346,,,7506751
5,99047845,2000,1,7406373
14,99047265,4000,9,7406311
5,99047876,390,1,7406375
12,99047293,20,1,7406318
8,99047293,10,1,7406320
5,99045878,200,1,7406262
5,99045010,500,1,7406040
5,102602829,2899,1,7873486
2,99290341,6200,1,7439390
12,99289824,400,1,7439389
5,99290290,1000,1,7438887
5,99291362,1080,1,7439430
1,99291456,900,1,7438947
5,99289784,4900,1,7439386
12,99289784,10000,1,7439384
16,99289784,8000,9,7439385
5,100562249,709,1,7609750
5,102602985,1000,1,7873514
2,104589431,1000,1,8168607
5,104589431,1000,1,8168608
5,99797074,5400,1,7506099
2,99797074,4799,1,7506098
5,99797871,1000,1,7506102
12,99796166,242000,1,7506734
1,99796475,,,7506743
5,101743852,1000,1,7766038
5,99796368,200,1,7506015
5,99797523,80,1,7506767
5,99797277,1000,1,7506037
5,99797246,1000,1,7506744
5,99797874,13000,1,7506103
5,104588648,400,1,8167881
5,100561860,500,1,7610428
5,100563310,4000,1,7610485
5,100561721,20,1,7610406
2,100562688,1000,1,7609789
5,100562505,3000,1,7609773
15,100563355,4000,9,7610491
5,100562765,6000,1,7610473
5,100563222,3600,1,7609800
5,100561844,2140,1,7610427
17,100563272,1000,1,7610480
7,100563272,10000,9,7610481
4,100563272,200,1,7610479
5,100563433,299,1,7610504
5,100563442,1500,1,7610505
2,100560952,4000,1,7610367
5,100560952,6000,1,7610368
1,100560952,1000,1,7610369
5,100561728,4000,1,7610408
12,100561728,1000,1,7610409
5,102605734,10000,1,7872977
1,101742794,1500,1,7766700
8,101742914,18000,9,7766724
5,101743142,598,1,7766768
2,101743948,1000,1,7766063
5,101743390,1000,1,7765968
15,101743734,24500,9,7766741
5,102605389,4900,1,7873615
5,101742944,400,1,7766726
5,104589761,,,8167908
5,102606549,10000,1,7873713
5,102605656,28000,1,7872968
12,102606444,,,7873699
5,102605497,2600,1,7873637
17,102606201,1000,11,7873661
5,102606499,27879,1,7872986
5,102602906,5000,1,7873497
5,102605092,26000,1,7873645
8,102605092,2500,9,7873646
5,102606285,6000,1,7873674
5,102605122,14498,1,7873650
5,102606432,9000,1,7873693
12,102605036,,,7873641
12,102606340,1000,7,7873682
5,104589766,1899,1,8168650
12,105568250,599,1,8317558
5,105568250,1100,1,8317557
5,105568225,1000,1,8317554
5,99814495,1000,1,7507929
5,96609362,,,7048436
5,97081549,1300,1,7119718
17,97081555,1000,11,7119087
17,97080824,1000,11,7119086
1,97080823,,,7119719
5,97080823,,,7119720
5,97080828,2299,1,7119088
5,98209714,,,7289008
5,99074189,3000,1,7408929
5,97818972,8000,1,7227565
5,98209719,1000,1,7289010
5,98209699,,,7289005
2,99073174,1600,1,7408925
5,98208638,2000,1,7288112
2,98627976,1500,1,7349916
5,98209715,1000,1,7289009
5,98627975,,,7349915
5,99073170,8699,1,7409539
5,99073173,699,1,7408924
5,99073169,7200,1,7408922
5,99073635,,,7409560
5,99074182,1000,1,7408927
5,99074181,,,7408926
5,99073658,3399,1,7409564
5,99073171,27600,1,7408923
5,100577007,,,7612464
5,99815404,5900,1,7508960
5,99814619,1500,1,7507951
5,99815392,1500,1,7507952
17,99815389,,,7508956
8,99815389,,,7508958
17,99815395,1000,11,7508959
5,99815386,5599,1,7508954
5,99814623,9900,1,7507953
5,99815390,,,7508957
5,100576982,6500,1,7612456
8,100576987,,,7612457
5,100576987,,,7612458
5,100576988,2600,1,7612460
5,101771808,2899,1,7771352
5,102686740,1699,1,7889532
2,101771807,,,7772301
5,101771807,,,7772300
5,102686742,,,7889533
5,102686734,2299,1,7889529
17,102686788,1000,11,7889549
5,102686733,1399,1,7889528
5,102686797,12000,1,7889551
17,102687611,1000,11,7889552
5,97212180,1000,1,7137346
1,97211094,3300,1,7137332
13,97211177,106000,9,7138378
5,97211177,4000,1,7138379
5,97211108,700,1,7137333
5,97819127,2000,1,7227581
5,97819221,10,1,7227083
5,97819283,11000,1,7227091
5,98208677,14000,1,7289018
5,98210221,1000,1,7289080
5,98210206,2000,1,7289077
5,98209938,3000,1,7289043
5,98210385,1000,1,7289100
5,98210526,1000,1,7289128
5,98210642,7000,1,7289146
5,98629588,14000,1,7349996
5,99074176,43000,1,7409634
5,99074815,1000,1,7408996
1,99074927,1000,1,7409017
17,99074927,10000,9,7409015
5,99074927,2000,1,7409016
5,99814658,1000,1,7508963
5,99815661,4000,1,7508994
5,99815443,1000,1,7508964
13,99815572,2000,9,7507970
15,99815937,26000,9,7509023
5,99815047,1000,1,7508010
5,99814977,1770,1,7507994
5,99816039,1000,1,7509037
5,99814954,3000,1,7507992
5,99815831,1000,1,7509013
1,100578673,5000,1,7612537
5,100578673,21000,1,7611759
2,100578472,1000,1,7612511
5,100578472,1000,1,7612510
8,100578240,50000,9,7611721
5,100578581,1000,1,7612532
5,101774489,1000,1,7771485
5,101774254,1000,1,7771440
5,104753740,1000,1,8192903
5,104753730,3000,1,8192901
5,96609725,7810,1,7048484
5,96609752,8900,1,7048488
5,96608942,19000,1,7048481
5,97080994,900,1,7119764
5,97080915,100,1,7119110
5,97080982,500,1,7119762
