victim_id,circumstances_id,justifiable_force_id
98223735,9,
98222858,9,
98303872,9,
98316990,1,
98267088,10,
98244962,1,
98327054,1,
98211569,1,
101356955,1,
98219164,9,
98265142,8,
98304295,9,
98292999,1,
98200234,8,
98220830,6,
98213056,10,
98335738,1,
98255153,9,
98326952,9,
98289200,2,
102052210,1,
98351809,1,
98190667,1,
98315441,1,
98262424,1,
98273086,1,
98335252,6,
98317145,1,
98327419,1,
100784567,9,
100777616,1,
98217764,1,
98222262,1,
98228950,1,
98235894,1,
102071506,10,
98240084,1,
98191668,10,
98192482,1,
98306638,1,
98199712,1,
98202151,1,
98202256,10,
98248798,1,
98227228,8,
98227228,1,
98232449,10,
92286137,1,
90793532,9,
94736801,1,
91351560,1,
91352285,1,
95695429,1,
90823742,10,
100811055,1,
98281431,9,
98266994,1,
98302562,10,
98311650,9,
98196097,10,
98292805,1,
98217672,1,
98318679,6,
98320803,1,
98325380,1,
98355000,10,
98289379,10,
98199730,10,
98217194,1,
98222132,1,
98222219,1,
98331266,1,
98292050,6,
98333344,9,
98328991,1,
98351808,1,
98361909,10,
98203657,9,
98322981,1,
98327428,1,
98327418,1,
92329327,1,
92329562,1,
93773602,10,
90793240,1,
90821054,1,
91350039,1,
91351439,1,
90834508,1,
90834509,1,
100660236,8,
98205175,1,
98215943,8,
98222268,1,
98204046,10,
100655397,2,
100655878,9,
100659058,1,
100651199,1,
98202690,9,
98233240,1,
98255112,9,
101884858,2,
101884856,9,
98215980,1,
98222450,1,
100811151,1,
98228962,4,
98228954,10,
98250918,1,
98349278,1,
98349276,1,
98263767,10,
98304371,9,
98328770,6,
98328770,1,
98303877,1,
98347216,1,
98198041,9,
98237565,10,
97248887,9,
98330995,9,
98343190,9,
98353688,1,
93894439,1,
92818729,1,
90821258,10,
90823883,10,
90825132,1,
90824466,1,
92824372,1,
92824488,9,
92267959,6,
92208275,6,
92208275,8,
94157878,10,
101890115,9,
102075500,1,
101986977,1,
102007006,9,
100767919,1,
100768242,1,
100786052,10,
100797800,1,
102047305,8,
102047305,2,
100798603,1,
102066990,1,
102046644,1,
102031108,1,
92260642,1,
91368655,1,
93823091,1,
93823090,1,
90793624,10,
91399400,6,
91404002,1,
98334008,2,
98271658,1,
98229143,10,
98229174,10,
98229139,10,
98353360,1,
98231932,8,
93835344,1,
92260377,9,
90803541,1,
93829438,1,
93893330,10,
93856763,6,
93870541,1,
93870543,1,
98262353,10,
98302572,1,
