suspect_using_id,offense_id
4,84233905
4,84230951
4,84223027
4,84214123
4,84233907
4,84233908
4,84223028
4,84235771
4,84230952
4,84214124
4,84226045
4,84223029
4,84233909
4,84226046
4,84226047
4,84231040
4,84233910
4,84230953
4,84226048
4,84223030
4,84223031
4,84214125
4,84233911
4,84231041
4,84233912
4,84223033
4,84235772
4,84235773
4,84235774
4,84233913
4,84233914
4,84223034
4,84223035
4,84223036
4,84214126
4,84214127
4,84233915
4,84231042
4,84230954
4,84233916
4,84230955
4,84233917
3,84235775
4,84231043
4,84235776
4,84214128
1,84233919
4,84230957
4,84214129
1,84230958
4,84231044
4,84231045
4,84231046
4,84233920
4,84226049
4,84230959
4,84226050
4,84223038
4,84223039
4,84226051
4,84226052
4,84226053
1,84223040
4,84235777
4,84226806
4,84235778
4,84230960
4,84230961
4,84223041
3,84230962
4,84230963
4,84235779
4,84214131
4,84231047
4,84233921
4,84230964
4,84231048
4,84223042
4,84214132
4,84235780
4,84223043
4,84214133
4,84230965
4,84223044
4,84235781
1,84214134
4,84226807
4,84214135
4,84214136
4,84231049
4,84231050
4,84226808
4,84230966
4,84231054
4,84214137
4,84226811
4,84230971
4,84239966
4,84233922
4,84235782
4,84235783
4,84223045
4,84233923
4,84226809
4,84231051
4,84231052
4,84226810
4,84231053
4,84223046
3,84230967
4,84214138
4,84231055
4,84223047
4,84233924
4,84214139
4,84226812
4,84223048
4,84233925
4,84230968
4,84223049
4,84223050
4,84233926
4,84226813
4,84233927
4,84230969
4,84235784
4,84214140
4,84223051
4,84230970
4,84223052
4,84231056
4,84235785
4,84231057
4,84214141
4,84233928
4,84223053
4,84226814
4,84235786
4,84223054
4,84230972
4,84231058
4,84230973
1,84235787
4,84235788
4,84226815
4,84223798
4,84235789
4,84223799
4,84235790
4,84230974
4,84230975
4,84233938
4,84223813
4,84226352
4,84223814
4,84223815
4,84223816
4,84231068
4,84230979
4,84226824
4,84231069
4,84236014
3,84236015
4,84231070
4,84235820
4,84235831
4,84233929
4,84226816
4,84231059
4,84231060
4,84233930
3,84233931
3,84233932
4,84231061
4,84231062
4,84214142
4,84231063
4,84231064
4,84223800
4,84223801
4,84214143
4,84214144
4,84214145
4,84233933
4,84214146
4,84226817
4,84231065
4,84226346
4,84223802
4,84223803
4,84226347
4,84233934
1,84226348
4,84223804
